job_title,job_responsibility
31506-高级web安全工程师,"1.支持腾讯重点企业级客户的日常web渗透和重保安服需求
2.参与国家级护网等web安全攻防演练
3.探索新兴技术领域的安全解决方案，如智能网联汽车、IoT、5G、区块链"
31506-云安全重大项目交付架构师（深圳）,"1、负责云安全的重大项目的交付方案设计和评审，保证项目按约定成功交付，对方案的可交付性，可靠性，可用性负责；
2、负责客户需求技术分析和讨论，总体交付方案设计，完成详细实施方案和验收方案，并指导实施团队进行上线落地；
3、主持优化解决方案交付，持续积累和提升交付能力和效率。"
31506-云安全重大项目交付架构师（北京）,"1、负责腾讯安全的重大项目的交付方案设计和评审，保证项目按约定成功交付，对方案的可交付性，可靠性，可用性负责；
2、负责客户需求技术分析和讨论，总体交付方案设计，完成详细实施方案和验收方案，并指导实施团队进行上线落地；
3、主持优化解决方案交付，持续积累和提升交付能力和效率。"
31506-安全对接行业运营,"负责安全产品的产品的商机运营，对接内部不同的行业部门（金融、政企、游戏等）；
与内部行业部门一起，协调资源，同步商机，推动安全产品在各行业客户的落地，管理客户需求并推动落地，提高客户的满意度；
梳理不同行业的客户的需求、痛点、应用场景，和内部产品部门一起推动完善产品；
根据部门的收入目标为导向，列出计划与售前产品经理一起推动完成目标；"
31506-安全对接渠道运营产品经理,"1、依照部门的商业目标，制定相关的渠道推广计划，负责推动将安全的产品在渠道售卖体系落地，包括但不局限于推动培训、输出产品简介、产品解决方案等。
2、深挖安全产品在各渠道的售卖场景及了解客户的使用场景，协助渠道更好的售卖产品。
3、负责项目计划的制定，跟踪维护，确保项目目标完成，推动商业化过程中各环节的效率，加速商业化落地; "
31506-安全技术服务工程师,"1.支持腾讯重点企业级客户的日常安全技术服务需求，包括安全评估、代码审计、渗透测试、攻击面和威胁分析、漏洞分析和修复等，重点在Web应用、智能手机移动App和内网的安全评估和测试。
2.支持腾讯重点企业级客户在重要时间节点的安全技术服务需求（如：重保期间），除提供日常服务中包含的内容外，还包括重大安全事件的应急技术分析，提供问题修复或者改进建议。
3.支持新兴安全技术领域的技术工作，如智能网联汽车安全、IoT安全、5G安全、区块链安全等。"
31506-安全产品数据运营,"1、协助部门主管进行部门运营目标和制定和达成管理；
2、负责预估业务的收入，及时及决策层沟通风险和提出解决方案；
3、通过跟踪数据，及时发现异常情况并推动解决；
4、通过跟踪数据，定期给予产品商业优化的建议；
5、通过分析数据，针对业务的损益，给予建议和优化方案，并推动落地，最终提升业务损益；"
29777-腾讯云高级行业运营经理,"1、负责腾讯云IAAS层资源成本的数据运营，数据分析，定价、售卖策略；
2、负责精细化制定和优化成本结算的方法，为产品提供成本预估能力；
3、根据运营数据明确成本优化最佳切入点，并推进成本优化项目落地；
4、负责运营成本对应的预算编制。
"
13654-高级公共事务经理,"负责维护、巩固和加强公司与公共管理部门的合作；
推进公司相关业务的发展；
结合公司业务诉求，推进与公共管理部门的业务对接。
"
35506-国际反洗钱政策分析经理（深圳）,"负责国际反洗钱政策和案例的研究课题、项目和调研；
组织协调境外智库、合作伙伴协同国内反洗钱团队和业务具体诉求开展研究；
跟踪国际外反洗钱政策动态，输出反洗钱深度研究成果；
协助建立拓展反洗钱工作品牌专业影响力和良好外部政策环境。"
31417-文化与内容公共事务经理,"对接和维护文化内容产品主管部门资源；
负责公司文化和内容项目汇报方案的编写及申报工作；
负责公司级材料的组织、申报及管理工作；
组织协调项目组各项工作有序开展，加强项目管理，推动督办落实；
负责公司相关资质的维护、申请工作。"
31417-公共战略经理,"根据腾讯游戏战略需求，同公共部门、行业机构、智库等建立合作渠道，组织会议、研讨等项目合作；
结合腾讯游戏战略及业务需求，负责相关文稿、规划等工作。
协助完成各类与腾讯游戏相关的公共事务会议、行业活动的协调安排及文稿支持。"
31417-政府合作经理,"跟踪并解读游戏相关政策、法律法规，帮助业务团队理解执行政策，为腾讯游戏提供决策支持；
负责游戏产品政策风险识别、预警，制定管理危机处理预案，协调处理危机事件；
建立并保持与政府、行业协会、智库的公共关系，参与相关游戏产品政府事务。"
TEG04-高校合作项目经理,"负责公司与高校、科研院所科研合作项目的项目管理；
负责公司与国际高校和学术团体的合作；
拓展并维护高校、科研院所、学术团体的高端客户关系。"
AQ-法律合作研究经理（深圳）,"1.根据研究中心研究方向，整合多方资源与研究力量，提升研究中心综合价值；
2.基于行业动态和政策法规，组织撰写深度分析报告；
3.协助搭建研究合作平台，落实执行课题研究、会议研讨等项目工作。
"
27261-高级舆情研究员,"1.主要承担所负责行业、领域的课题调研、研究报告撰写等舆情内容相关工作：
2.掌握国内外互联网生态及舆论管理衍生领域动向，定期梳理行业热点、特点、要点，进行相关主题内容梳理研究； 
3.承担具体业务对接工作，包括与团队内外相关部门、有关人员的工作对接、资源协调，以及与研究课题委托方的前期需求沟通，后期报告调整、具体事项咨询等服务； 
4.定期产生具有专业水准的原创报告、材料，提高业界影响力。
"
29050-CII产品合规经理,"1.联合个人信息保护、数据跨境规范等，结合CII的政策要求，完成产品的对接与合规解决方案研究、设计、制定、落实。
2.联合个人信息、跨境数据等合规要求，解读相关法律、政策的技术落地与合规应对措施；
3.深度研究互联网产品的形态，需求并制定符合国内、国际政策监管要求的产品、业务与技术解决方案；
4.研究、设计、开发、落实相关政策监管需要的风险控制系统。
"
29050-CII产品合规经理,"1.联合个人信息保护、数据跨境规范等，结合CII的政策要求，完成产品的对接与合规解决方案研究、设计、制定、落实。
2.联合个人信息、跨境数据等合规要求，解读相关法律、政策的技术落地与合规应对措施；
3.深度研究互联网产品的形态，需求并制定符合国内、国际政策监管要求的产品、业务与技术解决方案；
4.研究、设计、开发、落实相关政策监管需要的风险控制系统。

"
29050-跨境安全经理/专家,"1.互联网产品在国际市场的拓展，必须符合各国家或地区的跨境业务要求，该岗位要求为公司互联网产品在国内外拓展提供解决方案：
2.熟悉互联网产品与互联网的特性，互联网产品的跨境服务与数据流动的技术原理；
3.研究各国对于跨境业务、数据流动、服务监管的法律标准；
4.设计并制定产品数据跨境相关合规的解决方案并协同产品、业务、技术部门落实。
"
29050-跨境安全经理/专家,"1.互联网产品在国际市场的拓展，必须符合各国家或地区的跨境业务要求，该岗位要求为公司互联网产品在国内外拓展提供解决方案：
2.熟悉互联网产品与互联网的特性，互联网产品的跨境服务与数据流动的技术原理；
3.研究各国对于跨境业务、数据流动、服务监管的法律标准；
4.设计并制定产品数据跨境相关合规的解决方案并协同产品、业务、技术部门落实。
"
29050-CII政策发展经理,"1.搜集CII及其周边相关监管的政策、标准，参与单位组织、监管措施与解决方案；
2.研究、设计、制定关于CII相关合规的技术、业务解决方案；
3.联合个人信息保护、跨界安全、信息安全策略等方向，研究并推动CII相关政策、标准、法规的研究与合规工作。
"
29050-CII政策发展经理,"1.搜集CII及其周边相关监管的政策、标准，参与单位组织、监管措施与解决方案；
2.研究、设计、制定关于CII相关合规的技术、业务解决方案；
3.联合个人信息保护、跨界安全、信息安全策略等方向，研究并推动CII相关政策、标准、法规的研究与合规工作。
"
27261-高级舆情项目经理,"1.拓展增量舆情业务合作，维护存量舆情业务合作，并推进不断深化升级；
2.掌握客户反馈以及舆情行业最新趋势动态，创新迭代业务模块和产品形态；
3.组织课题调研及沙龙论坛等项目活动，并协调内外部资源实施落地；
4.扩大业务知名度和影响力。
"
AQ-安全品牌经理（深圳）,"1.负责部门相关业务如网络安全业务、网络犯罪治理、企业社会安全责任构建等项目的品牌策划和推广工作；
2.根据公司及部门安全业务的发展需要，策划并开展品牌营销项目，扩大公司在网络安全领域的社会影响力；
3.熟悉政府部门的工作流程和沟通方式，有良好的项目管理能力和协调能力；
4.制定品牌传播计划，与内外部创意团队紧密合作，有效提升品牌认知度和影响力。
"
AQ-安全品牌经理（北京）,"
1.负责部门相关业务如网络安全业务、网络犯罪治理、企业社会安全责任构建等项目的品牌策划和推广工作；
2.根据公司及部门安全业务的发展需要，策划并开展品牌营销项目，扩大公司在网络安全领域的社会影响力；
3.熟悉政府部门的工作流程和沟通方式，有良好的项目管理能力和协调能力；
4.制定品牌传播计划，与内外部创意团队紧密合作，有效提升品牌认知度和影响力。

 "
AQ-产品安全经理,"1.从信息安全防控视角，全流程跟进公司各类产品的开发设计及运营情况，根据产品功能特性与发展情况，动态评估信息安全风险，提供解决方案；
2.依照法律法规相应要求，协助产品运营团队完善运营规则，建立依法依规的管理体系；
3.对内统筹协调业务部门、技术团队等，应对处理涉公司平台的信息安全突发事件，并跟进问题的挖掘和解决；
4.关注并跟踪研究互联网泛安全领域的潜在风险和发展问题，为产品创新、优化提供风险评估参考。
"
29050-数据安全经理/专家（北京）,"个人信息安全建设已经成为国家产品开发与运营的重要组成部分；该岗位重点针对上述方向研究个人信息安全法律、标准、技术措施的保护解决方案的研究、制定、落实，核心包括以下三方面：
研究国内、国际相关个人信息保护的政策、标准与案例；
研究互联网产品、技术发展，并为产品提供相关合规解决方案；
研究个人信息保护的网络犯罪动向，策略对抗方法，并参与相关法律、政策、标准的研究。
"
AQ-金融业务安全经理（深圳）,"负责开展金融业务的风险分析，能及时发现风险问题并制定、落实相应解决方案； 
对侵害金融业务的各类网络黑灰产开展体系化研究及系统性治理，建立金融安全保护体系，帮助产品营造健康的金融生态环境；
对金融行业及金融安全开展深入研究，提升金融安全能力在行业的影响力。

"
AQ-微信业务安全经理（广州）,"对侵害微信业务的各类网络黑灰产开展体系化研究及系统性治理，营造健康的微信生态环境；
开展微信业务的各类风险分析，能及时发现风险问题并制定、落实相应解决方案；
统筹内外资源运营安全项目，提升行业与社会影响力。
"
AQ-网络黑产对抗业务安全经理（深圳）,"对侵害平台业务的各类网络黑灰产开展体系化研究及系统性治理，建立安全防护体系，帮助产品营造健康的安全生态环境；
负责开展平台的网络安全风险分析，能及时发现风险问题并制定、落实相应解决方案；
对平台安全体系开展深入研究，提升安全能力在行业的影响力。

"
AQ-云产品安全策略经理（深圳）,"依照法律法规要求，协助腾讯云各主要产品建立依法依规的管理体系；
从信息安全防控视角，全流程跟进腾讯云各主要产品内容安全策略建设，动态评估信息安全风险，提供解决方案；
对内统筹协调业务部门、技术团队等，应对处理涉公司平台和腾讯云的信息安全、网络安全突发事件，并跟进问题的挖掘和解决；
关注并跟踪研究互联网泛安全领域的潜在风险和发展问题，为产品创新、优化提供风险评估参考。
"
AQ-云产品安全策略经理（北京）,"依照法律法规要求，协助腾讯云各主要产品建立依法依规的管理体系；
从信息安全防控视角，全流程跟进腾讯云各主要产品内容安全策略建设，动态评估信息安全风险，提供解决方案；
对内统筹协调业务部门、技术团队等，应对处理涉公司平台和腾讯云的信息安全、网络安全突发事件，并跟进问题的挖掘和解决；
关注并跟踪研究互联网泛安全领域的潜在风险和发展问题，为产品创新、优化提供风险评估参考。
"
29050-产品合规经理 （深圳）,"掌握理解国家和电信和互联网行业主管部门在网络基础资源管理、业务合规运营、网络信息安全、数据安全和用户个人信息保护的法律法规和规章政策要求，研究制定面向业务、产品、服务的合规运营和安全解决方案，并做好沟通说明和推进实施。
1、全面充分理解和掌握国家和行业主管部门在网络基础资源管理、业务合规运营、网络信息安全、数据安全和用户个人信息保护等法律法规和监管政策要求，并做好相应的研究分析和策略制定。
2、深入密切了解掌握国家和行业监管涉网络安全、信息安全、数据安全、用户个人信息保护专项监管政策要求和实践举措，做好研究分析、策略研提和沟通协调。
3、密切跟踪国内外合规和安全法规政策要求，研究制定业务合规和安全运营技术解决方案并推进实施，组织建设管理和安全风险控制系统平台。

"
AQ-标准经理/专家（深圳）,"负责公司重要领域的标准策略制定、标准预研和规划，负责标准化工作；
主动跟踪行业标准动态，探索新兴领域，捕捉热点，分析前沿标准资讯及趋势； 
与业务团队深度融合，推动公司重点业务的标准布局、标准研制、推广应用；
参加国内外标准活动，为公司营造一个健康、安全、引领发展的标准生态。"
29050-产品合规经理 （北京）,"掌握理解国家和电信和互联网行业主管部门在网络基础资源管理、业务合规运营、网络信息安全、数据安全和用户个人信息保护的法律法规和规章政策要求，研究制定面向业务、产品、服务的合规运营和安全解决方案，并做好沟通说明和推进实施。
1、全面充分理解和掌握国家和行业主管部门在网络基础资源管理、业务合规运营、网络信息安全、数据安全和用户个人信息保护等法律法规和监管政策要求，并做好相应的研究分析和策略制定。
2、深入密切了解掌握国家和行业监管涉网络安全、信息安全、数据安全、用户个人信息保护专项监管政策要求和实践举措，做好研究分析、策略研提和沟通协调。
3、密切跟踪国内外合规和安全法规政策要求，研究制定业务合规和安全运营技术解决方案并推进实施，组织建设管理和安全风险控制系统平台。

"
15573-手游客户端开发高级工程师（上海）,"研发跨平台（iOS和Android等）精品移动终端网络游戏产品；
工作包括但不限于技术设计、开发编码和各类协作；
实现新特性，实现并保证架构稳定，提高研发效率；
持续优化性能、需求表现和兼容性；
与游戏服务器，运营，平台等功能模块做开发对接联调；
优化工作流程，优化开发工具。
"
15573-高级2D场景原画师（上海）,"负责游戏中地图、建筑等原画设计；
负责游戏中场景氛围概念图；
负责优化宣传素材；
负责外包资源的审核修改。"
15573-SLG手游2D角色原画设计师（上海）,"负责游戏内角色，怪物，NPC等原画造型、动态立绘等设计； 
负责美术插画设计，精修； 
负责外包资源的审核修改，统一风格，提高制作品质。"
15573-欧美次世代手游3D场景设计师（上海）,"负责游戏中的3D场景模型、贴图绘制；
负责游戏中三渲二固定视角场景模型制作；
能负责场景整合，灯光气氛设计和把控；
有美术外包管理经验能审核修改及外包团队的培养；
确保项目3D场景资源按规格制作并风格统一，最终入引擎以最优化表现顺畅运行。"
15573-欧美次世代手游3D动画特效设计师（上海）,"熟练掌握unity3d引擎，负责角色动画和3D特效设计；
推动项目动画特效编辑器的持续完善和优化；
根据项目进度，按时完成工作；
与其他团队成员一起解决技术难题和挑战，审核外包提交3D动画和3D特效资源。"
15573-资深SLG手游数值策划（上海）,"负责移动游戏全局数值模型，用理论和实际测试保持数值的可研究性、平衡性、可调性；
熟练运用数值建模，调整并优化：单局体验、成长体系、经济体系等体系的数值设定，并能根据实际调试优化数值；
推理并演算已有游戏的数值设定体系；
负责调整数据、跟进版本实现，保证游戏开发质量。"
31967-企鹅电竞直播运营经理（深圳）,"负责相关游戏或泛娱乐 品类的整体规划，品类策略制定及落地跟进，为品类KPI负责；
负责相关游戏或泛娱乐品类 的直播&点播内容运营，对接内外部渠道资源；
负责核心主播运营、维护及日常管理，包括主播包装方案、活动方案策划等；
负责核心合作伙伴关系维护及业务拓展。

"
30933-宝可梦社区运营,"负责搭游戏社区用户体系，并负责相关策略的制定、执行、监管与分析，提升用户对游戏及社区的价值与粘性；
通过对不同类型社区用户的洞察与分析，制定精细化的用户运营策略，满足不同用户诉求，提升用户对社区及内容的忠诚度与满意度；
合理运用不同社区渠道和手段，建立差异化的用户沟通方式，有效保证游戏与用户的沟通顺畅，做好游戏与用户的桥梁；"
25666-华南区域政府行业销售（长沙/厦门/深圳/广州/南昌/海南）（深圳）,"负责腾讯云在区域市场的拓展规划、落地和销售业绩的达成；
负责腾讯云在当地市场合作生态的建设；
负责腾讯云在区域市场各行业客户的满意度和覆盖率的提升。"
15612-游戏客户端开发(北京）,"主要从事MMO游戏相关功能的开发工作与性能优化工作；
与策划、美术协调数据与资源相关的需求及跟进；
与后台开发协商通信协议并完成前端开发与前后台联调工作；
与测试沟通Bug的细节，分析并修复功能Bug；
进行多分支开发，及时将开发分支内容合并到需要的分支。"
16810-腾讯动漫数据分析工程师（用户增长）,"负责动漫业务增长方向分析指标体系建设，挖掘增长目标，拆解获取、激活、留存、付费、自传播等不同用户生命周期细分指标
负责动漫内容分析，包括分类聚类、内容评价体系等工作；
负责用户画像建设，基于用户行为挖掘用户内容偏好、行为习惯；
针对产品运营相关业务问题，进行数据分析与建模，提出优化方案、设计AB试验测试等；"
25666-腾讯云西南区域销售（成都）,"负责腾讯云在西南区域的销售工作，包括目标客户的开发与维护及跟进，市场策略制定、合作伙伴管理等；
聚焦销售，有坚定的执行力，达成公司制定的目标任务和KPI考核目标；
维护跟进现有客户的商务关系，在现有基础上拓展客户业务需求。"
23295-互娱媒体策略经理（深圳）,"负责腾讯互娱游戏产品媒体及内容的策略工作；
包括： 
1、基于业务需求制定媒体及内容整合传播策略、包括广告投放方案及内容营销方案；
2、基于媒体渠道的创意应用或合作模式创新；
3、基于媒体及KOL进行内容及创意策划； 
4、基于策略方案，负责全程统筹跟进执行落实
5、各类型媒体渠道研究及各业务类型传播推广方法论的提炼。"
21309-在线教育部-企鹅辅导--用户运营经理（深圳）,"1、根据K12行业及用户特点，设计企鹅辅导的引流产品及内容，与渠道配合完成用户承接工作；
2、完成用户流量的分发工作，通过增长手段确保各期用户流量满足社群运营需求；
3、根据K12用户的属性和行为特征对用户做分层，制定相应的用户运营策略；
4、挖掘和分析用户使用习惯、场景和体验，梳理用户转化路径，提升用户转化率；
5、对用户和品牌进行持续运营，通过策划内容、传播活动、事件营销等相关项目提升产品口碑及影响力.
"
22989-高级数据产品经理,"1、 拥有4年以上数据产品设计经验，熟悉业界主流BI产品（例如excle tableau等），会用sql python等进行简单的数据提取和处理
2、良好的数据分析能力，如果有云相关的成功运营分析经验优先
3、有良好的逻辑性和结构性思维，能够用产品思维解决业务或者客户问题
4、有很强的产品owner意识，良好的自我管理能力、环境适应能力和执行力，能较大压力下保持工作激情
5、.本科及以上学历，数学、统计、计算机及相关专业优先，有TOB的产业互联网的相关经历优先（例如：有对接或者从事过销售 /渠道/市场/交付等相关的数据运营支持工作）
"
22989-高级产品策划（深圳）,"负责腾讯云经营平台门户的各用户端规范的制定与信息架构；
为经营平台各系统通用能力提供产品和解决方案；
与各系统进行数据及用户行为的反馈和跟进，指定优化策略，完善功能、提升效率与体验；
负责推进平台内部各个系统模块高效合作；
负责平台内部的数据中台建设以及各个系统的数据打通。"
21309-在线教育部-高级项目经理,"负责在线教育部相关产品研发的项目管理工作。
负责项目计划的制定、跟踪和维护，能够很好的推进各项事情落地，确保项目按计划完成；
负责跟各业务部门建立有效的合作机制，有序的让团队跨部门、跨地域的协同工作；
负责组织项目的各项会议，不断优化项目流程规范；
及时发现并跟踪解决项目问题，有效管理项目风险。"
32268-腾讯视频移动端开发工程师（深圳/北京）,"负责腾讯视频产品的研发和性能优化，完成高质量编码和测试； 负责与产品同学配合，深度参与产品需求讨论和功能定义； 负责参与移动技术框架的设计选型，实现关键技术点；

"
36321-运营分析/数据分析,进行技术服务能力指标设计与监控分析；自主挖掘与分析数据，实现技术引擎优化的运营支撑；通过规范化的项目管理推动完成项目目标；通过数据爬取、挖掘、清洗为相关项目提供高质量的样本源
CSIG17-云行业测试开发工程师（腾讯云全资子公司）,"1.负责行业产品业务的质量保障工作
2.优化测试全流程，提高测试质量和效率
3.云行业产品质量相关的技术方案质量和推进
注：此岗位为腾讯集团旗下全资子公司编制岗位"
CSIG17-IT支持工程师（腾讯云全资子公司）（重庆）,"1、负责公司IT系统的搭建、硬件网络接入等工作；
2、负责公司内部路由器、交换机、防火墙设备以及服务器的日常维护
3、负责IT系统及硬件设备的管理、维护、变更、优化、故障处理和应急恢复等运维操作及运维管理相关工作；
4、负责IT系统的安全稳定运行，组织及配合作好各种信息系统安全检查。
注：此岗位为腾讯集团旗下全资子公司编制岗位。"
CSIG17-IT支持工程师（腾讯云全资子公司）（长沙）,"1、负责公司IT系统的搭建、硬件网络接入等工作；
2、负责公司内部路由器、交换机、防火墙设备以及服务器的日常维护
3、负责IT系统及硬件设备的管理、维护、变更、优化、故障处理和应急恢复等运维操作及运维管理相关工作；
4、负责IT系统的安全稳定运行，组织及配合作好各种信息系统安全检查。
注：此岗位为腾讯集团旗下全资子公司编制岗位。"
PCG19-AI后台高级开发工程师(深圳),"负责视频指纹的索引引擎服务以及分布式系统的研发及功能增强;
负责AI视频理解能力工程化落地及持续优化;
负责对外接口的开发与跨团队项目的协调推进;
负责公共存储及中间件的提炼设计及推广运用。"
28481-医疗行业高级产品经理（深圳）,"1、负责智慧医疗行业市场分析、商业计划、市场调研、需求分析、产品机会发现、总体解决方案设计、产品功能设计；
2、负责重点和标杆项目的需求分析、整体解决方案设计、子产品拆解、新产品沉淀；
3、负责腾讯智慧医疗标准化数据、服务体系规范建设；
4、考察、梳理合作伙伴产品，构建行业内医疗信息化厂商的产品图谱；
5、梳理医疗、卫建委、卫监、食药监等客户的需求和场景，找到腾讯能力和合作伙伴产品的结合点，推出联合解决方案和联合研发产品；"
15575-《王者荣耀》-资深数值策划（成都）,"负责战斗数值平衡、经济产耗模块的相关工作；
负责与战斗、系统、关卡玩法、商业化等模块紧密配合，完成各模块的数值核算工作及配置工作；
负责对养成、经济产耗、货币体系、平衡性等模块的数据监控和分析，形成结论并根据结论进行调整优化；"
24318-微信平台产品运营经理（广州）,"负责微信平台的对外业务合作，协助投资公司和其他业务方与微信各项合作的产品化落地；
负责微信钱包功能内的腾讯服务和第三方服务的需求沟通和日常监管；
不断优化合作机制和提升合作效率，保证微信平台对外合作的安全与稳定，提升平台和用户价值。"
26832-高级招聘专员(深圳) ,"主要负责高质量简历搜索工作；
负责研究目标行业发展及人才特征；
利用各种工具及渠道，寻找优秀的人才；
人才库的运营及其他平台型产品建设工作。"
18436-金融数据库高级经理,"1、负责金融数据库流程的建设、创新，建设数据仓库的方法和工具；
2、从事基金、股票、债券等数据仓库建设的全流程，包括深度采集、清洗、校验和挖掘，进行衍生指标计算，提供专业的数据服务；
3、合理设计数据加工流程、规则、方法的整体方案；
4、与团队合作，进行特定数据的研究，并能撰写分析研究报告。"
18427-理财通用户增长高级产品经理（深圳）,"围绕理财通MAU，运用增长思维，负责理财通用户的拉新、留存、转化、AUM成长、持续活跃的全生命周期运营，提升理财通MAU；
以数据驱动，自主对内外部数据进行分析、因果推断，挖掘影响MAU增长的核心因素，制定优化策略并协同推进落地；
通过数据挖掘分析和用户洞察，不断提出假设和推动假设落地验证，并结合AB实验方法完成探索分析；
开发新的用户增长工具和数据工具，不断完善理财通基础数据能力和提升运营效率。"
WXG10-企业微信运营中心后台开发工程师（广州）,"负责安全相关系统的后台开发和维护；
 负责数据支撑系统的后台开发和维护；
 负责运营门户等后台开发工作。
"
15575-《王者荣耀》项目经理（成都）,"负责王者荣耀项目管理工作，充分理解目标，制定实施计划，协调内外资源，跟进执行进度，控制风险，为端到端交付负责；
负责建设流程，完善制度，优化团队工作方式，提高团队效率；
负责组织项目各项评审会议及项目例会；
负责协调和跟进外部合作事项落地。"
PCG20-部门秘书（深圳）,"支持上级工作，负责上级日程管理及差旅行程安排，协助上级做好部门管理及团队融合，参与上级及核心团队的支持工作；
担任部门内各项行政人事工作接口人，负责统筹管理部门相关事务等；
协助制定并实施部门的管理规章制度及各项流程，并进行流程优化；
负责组织各类文化、福利、关怀活动，落实部门组织氛围建设。"
36321-产品经理（北京）,"负责腾讯内容安全审核平台的规划，根据内容的形态（长短视频、图文、音频、评论、话题等）制定相应的安全审核流程与策略。
搭建符合安全要求的审核系统与工具，并通过功能创新，不断提升审核系统的运转效率，提升内容审核的质量。
负责与审核团队的协调与沟通，收集审核人员对审核系统的需求，并落地转化为产品功能，为审核团队的人效提升、考核管理提供产品工具支持。
负责与内容业务团队的协调与沟通，满足各产品对内容安全的业务需求。"
18302-UE4大世界MMO-高级文学策划,"构架MMOARPG的世界观；
基于世界观建设游戏内文化氛围；
包装与打造IP角色；
主线以及支线任务设计；
为大世界玩法提供背景支持；
把控游戏整体沉浸感方向。"
PCG03-体育产品营销经理,"1、打造腾讯体育产品内容生态、从营销布局到内容协同
2、支持腾讯体育重点产品拉新拉活及行业侧营销推广相关工作
3、负责腾讯体育自制IP活动营销推广与业务沟通、制定营销策略、扩大传播声量等
"
PCG19-腾讯视频web前端开发工程师（深圳）,"负责腾讯视频移动端hybrid架构下的web前端模块化设计与开发
负责腾讯视频App hybrid架构下跨越手机、pad多屏自适应能力的开发和优化
负责后台部分数据接口的规范定义和实现
负责页面性能优化和质量运营，并保持对前沿技术的预研和引入。"
37088-游戏渠道运营(深圳）,"负责对接重点手游渠道的运营需求，包括但不限于游戏专区的搭建和维护、开发者后台账号创建、渠道包测试和上传、渠道需求素材物料准备、礼包配置、上线资源位置和量级监控等；
根据产品在手游渠道的数据表现，制定及执行各个渠道不同运营阶段的运营活动，保持产品上线后的新增、在线及付费稳定，与商务共同完成渠道新增等KPI； 
结合渠道的属性和要求，配合营销和设计优化渠道吸量及转化，包括但不限于icon、五图、视频、玩家评论、社区论坛运营等，并积极与渠道运营人员沟通，根据数据不断优化下载转化、注册转化等取得更多合作资源； 
横盘了解外部产品在渠道的发行节奏及相关运营活动效果、资源合作等，深入了解挖掘不同渠道的特性，分析渠道用户偏好；
了解渠道的最新运营动态，熟悉渠道的最新运营规则，并定期整理刷新，协助商务研究渠道对不同； 
监控产品在渠道的资源和推荐位置，定期整理产品在渠道的数据表现，分析并及时发现问题，提出合理的改进建议； 
产品在渠道运营过程中的突发事件响应，推进内外的决策和处理。"
30934-Corporate PR Head of IEG International,"Priorities can often change in a fast-paced environment like ours, so this role includes, but is not limited to, the following responsibilities

•	Manage strategic vision across communications function, ensuring alignment and cohesion among regional teams, employee communications, external communications, speaking opportunities and events
•	Build corporate communication strategy and lead on implementation
•	Manage gaming media relations, serving as primary media spokesperson on behalf of the company
•	Cultivate positive relationships with key beat reporters and primary business, consumer and trade outlets covering Tencent Interactive Entertainment International
•	Develop communication plans, content and collateral, product announcements and updates, crisis and change management messaging management
•	Actively pursue and prioritize media opportunities, prepare talking points, speeches, presentations and other supporting material to promote the company brand among target audiences
•	Oversee communications projects, manage production and external vendors.
•	Serve as an advisor to senior leadership, broadening our visibility among target audiences
"
18427-理财通web前端开发工程师,"负责理财通PC、移动端、小程序的视觉稿还原页面等UI开发工作；
负责理财平台金融业务web前端开发；
负责互联网金融理财类相关产品管理系统页面的开发工作，包括js，html5，css等。"
15665-手游运营负责人（深圳）,"负责手游产品的运营规划工作，拆分运营目标并制定对应的运营策略，对产品品质及运营目标负责；
把控游戏的整体筹备、上线及稳定期运营节奏；根据产品测试、运营数据情况，联动内外部团队，调整游戏运营策略，完成运营目标，推动运营计划的实施并定期汇报运营状况； 
负责产品体验，提出产品优化建议，推动提升游戏产品品质； 
处理跨团队、跨国之间的项目沟通协作，进行必要的流程搭建及执行管理，对齐双方期待效果目标，推动项目顺利进展。"
PCG17-波洞iOS开发工程师（深圳）,"承担项目相关部分需求分析、架构设计；
承担移动终端产品(iOS）的特性开发与维护以及终端性能相关优化"
PCG17-波洞星球动漫画运营,"
* 负责与漫画公司对接：作品剧本审核、后台审核、稿费结算等；与作者建联，围绕平台目标制定作品运营策略指导作者运营好作品和用户；
* 负责监控动漫画数据，根据数据情况指导漫画剧情发展或制定作品运营策略；
* 负责动漫画内容运营：围绕提升阅读量运营目标制定运营策略并落地执行；
* 负责头部作品精细化运营，独立策划有传播性与品牌感的主题活动；"
29912-微视内容运营编辑,"1、负责微视的热点运营，整合优质内容、策划制作相关的内容专题，在平台内外部输出推荐拉动用户消费
2、负责挖掘各类潜力PGC、UGC，保证内容质量和完成内容相关的原创策划以及数据分析输出
3、制定阶段性内容运营规划，定期输出运营分析及活动总结，挖掘有趣有传播力的运营玩法"
PCG17-web前端开发工程师（深圳）,"负责通过技术提升用户体验和可用性；
负责实现突破web多终端设备限制，为更多用户群体提供更好地产品体验。"
29912-增长内容运营,"1，负责微视外渠道内容运营，以增长为目标，同时兼顾微视内容生态
2，对于新热内容有良好感知，并能准确抓住用户喜好，打造爆款内容
3，针对产品功能提出优化建议，与产品同学紧密协作，提高效率优化体验"
PCG17-后台开发高级工程师（深圳）,"负责后台Server的架构设计、开发、优化以及运营工作；
负责提出海量服务的解决方案，针对高并发高负载服务开发基础设施。"
